code_pro,wilaya,field,activity,description
A1B2C3D4,Algiers,IT Services,Software Developer,Develops and maintains software applications.
E5F6G7H8,Oran,Healthcare,Nurse,Provides medical care and assists doctors in hospitals.
I9J0K1L2,Constantine,Education,Math Teacher,Teaches mathematics to high school students.
M3N4O5P6,Setif,Construction,Civil Engineer,Designs and oversees construction projects.
Q7R8S9T0,Annaba,Finance,Accountant,Manages financial records and prepares tax returns.
U1V2W3X4,Blida,Marketing,Digital Marketer,Plans and executes online marketing campaigns.
Y5Z6A7B8,Batna,Agriculture,Farm Manager,Supervises agricultural operations and farm workers.
C9D0E1F2,Biskra,Logistics,Supply Chain Manager,Oversees logistics and distribution of goods.
G3H4I5J6,Djelfa,Legal,Lawyer,Provides legal advice and represents clients in court.
K7L8M9N0,Tlemcen,Security,Security Guard,Monitors premises and ensures safety.
O1P2Q3R4,Algiers,IT Services,Cybersecurity Analyst,Protects systems from cyber threats.
S5T6U7V8,Oran,Healthcare,Dentist,Provides dental care and oral hygiene treatments.
W9X0Y1Z2,Constantine,Education,Physics Professor,Teaches physics at university level.
A3B4C5D6,Setif,Construction,Architect,Designs buildings and urban spaces.
E7F8G9H0,Annaba,Finance,Investment Analyst,Analyzes financial data for investment decisions.
I1J2K3L4,Blida,Marketing,SEO Specialist,Optimizes websites for search engine rankings.
M5N6O7P8,Batna,Agriculture,Agronomist,Researches and improves farming methods.
Q9R0S1T2,Biskra,Logistics,Warehouse Manager,Manages storage and distribution of goods.
U3V4W5X6,Djelfa,Legal,Judge,Presides over court proceedings and makes legal judgments.
Y7Z8A9B0,Tlemcen,Security,Private Investigator,Conducts investigations for legal cases.
